Gene,Transcript
ADAMTS15,NM_139055.4
ADAMTS16,NM_139056.4
ADAMTS17,NM_139057.4
ADAMTS18,NM_199355.4
ADAMTS19,NM_133638.6
ADAMTS2,NM_014244.5
ADAMTS20,NM_025003.5
ADAMTS3,NM_014243.3
ADAMTS4,NM_005099.6
ADAMTS5,NM_007038.5
ADAMTS6,NM_197941.4
ADAMTS7,NM_014272.5
ADAMTS8,NM_007037.6
ADAMTS9,NM_182920.2
ADAMTSL1,NM_001040272.6
ADAMTSL2,NM_014694.4
ADAMTSL3,NM_207517.3
ADAMTSL4,NM_019032.6
ADAMTSL5,NM_213604.3
ADAP2,NM_018404.3
ADAR,NM_001111.5
ADARB1,NM_001112.4
ADARB2,NM_018702.4
ADAT1,NM_001324445.2
ADAT3,NM_138422.4
ADCK1,NM_020421.4
ADCK2,NM_052853.4
ADCK5,NM_174922.5
ADCY1,NM_021116.4
ADCY10,NM_018417.6
ADCY2,NM_020546.3
ADCY3,NM_004036.5
ADCY4,NM_001198568.2
ADCY5,NM_183357.3
ADCY6,NM_015270.5
ADCY7,NM_001114.5
ADCY9,NM_001116.4
ADD1,NM_001354761.2
ADD2,NM_001617.4
ADD3,NM_016824.5
ADGB,NM_024694.4
ADGRA1,NM_001083909.3
ADGRA2,NM_032777.10
ADGRA3,NM_145290.4
ADGRB1,NM_001702.3
ADGRB2,NM_001364857.2
ADGRD1,NM_198827.5
ADGRE1,NM_001974.5
ADGRE2,NM_013447.4
ADGRE3,NM_032571.5
ADGRE5,NM_078481.4
ADGRF1,NM_153840.4
ADGRF3,NM_001321971.2
ADGRF4,NM_153838.5
ADGRF5,NM_001098518.2
ADGRG1,NM_201525.4
ADGRG2,NM_001079858.3
ADGRG3,NM_170776.5
ADGRG4,NM_153834.4
ADGRG5,NM_001304376.3
ADGRG6,NM_198569.3
ADGRG7,NM_032787.3
ADGRL1,NM_014921.5
ADGRL2,NM_001366006.2
ADGRL3,NM_001387552.1
ADGRV1,NM_032119.4
ADH1B,NM_000668.6
ADH1C,NM_000669.5
ADH6,NM_001102470.2
ADH7,NM_000673.7
ADHFE1,NM_144650.3
ADI1,NM_018269.4
ADIPOQ,NM_004797.4
ADIPOR1,NM_015999.6
ADK,NM_006721.4
ADM,NM_001124.3
ADM2,NM_001253845.2
ADNP,NM_001282531.3
ADNP2,NM_014913.4
ADO,NM_032804.6
ADORA1,NM_000674.3
ADORA2A,NM_000675.6
ADORA2B,NM_000676.4
ADORA3,NM_000677.4
ADPRH,NM_001125.4
ADPRHL1,NM_001394807.1
ADPRS,NM_017825.3
ADRA1A,NM_000680.4
ADRA1D,NM_000678.4
ADRA2A,NM_000681.4
ADRA2B,NM_000682.7
ADRA2C,NM_000683.4
ADRB1,NM_000684.3
ADRB2,NM_000024.6
ADRB3,NM_000025.3
ADRM1,NM_007002.4
ADSL,NM_000026.4
ADSS1,NM_152328.5
ADSS2,NM_001126.5
ADTRP,NM_032744.4
AEBP1,NM_001129.5
AEBP2,NM_153207.5
AEN,NM_022767.4
AFAP1,NM_001134647.2
AFAP1L1,NM_152406.4
AFAP1L2,NM_001001936.3
AFF1,NM_001166693.3
AFF2,NM_002025.4
AFF3,NM_001386135.1
AFF4,NM_014423.4
AFG1L,NM_145315.5
AFG2A,NM_145207.3
AFG2B,NM_024063.3
AFG3L2,NM_006796.3
AFM,NM_001133.2
AFMID,NM_001010982.5
AFP,NM_001134.3
AFTPH,NM_203437.4
AGA,NM_000027.4
AGAP1,NM_001037131.3
AGAP2,NM_001122772.3
AGAP3,NM_031946.7
AGAP4,NM_001276343.3
AGAP5,NM_001144000.4
AGAP6,NM_001077665.3
AGAP9,NM_001190810.1
AGBL1,NM_001386094.1
AGBL2,NM_024783.4
AGBL3,NM_178563.4
AGBL4,NM_032785.4
AGBL5,NM_021831.6
AGER,NM_001136.5
AGFG1,NM_004504.5
AGFG2,NM_006076.5
AGGF1,NM_018046.5
AGK,NM_018238.4
AGL,NM_000642.3
AGMAT,NM_024758.5
AGMO,NM_001004320.2
AGO1,NM_012199.5
AGO2,NM_012154.5
AGO3,NM_024852.4
AGPAT1,NM_006411.4
AGPAT2,NM_006412.4
AGPAT4,NM_020133.3
AGPAT5,NM_018361.5
AGPS,NM_003659.4
AGR2,NM_006408.4
AGR3,NM_176813.5
AGRN,NM_198576.4
AGRP,NM_001138.2
AGT,NM_000029.4
AGTPBP1,NM_001330701.2
AGTR1,NM_000685.5
AGTR2,NM_000686.5
AGTRAP,NM_020350.5
AGXT,NM_000030.3
AGXT2,NM_031900.4
AHCTF1,NM_001323342.2
AHCY,NM_000687.4
AHDC1,NM_001371928.1
AHI1,NM_001134831.2
AHNAK,NM_001620.3
AHNAK2,NM_138420.4
AHR,NM_001621.5
AHRR,NM_001377236.1
AHSA1,NM_012111.3
AHSG,NM_001622.4
AHSP,NM_016633.4
AICDA,NM_020661.4
AIF1,NM_001623.5
AIFM1,NM_004208.4
AIM2,NM_004833.3
AIMP1,NM_001142416.2
AIMP2,NM_006303.4
AIP,NM_003977.4
AIPL1,NM_014336.5
AIRE,NM_000383.4
AJAP1,NM_018836.4
AJUBA,NM_032876.6
AK1,NM_000476.3
AK2,NM_001625.4
AK4,NM_013410.4
AK5,NM_174858.3
AK7,NM_152327.5
AK8,NM_152572.3
AK9,NM_001145128.3
AKAP1,NM_003488.4
AKAP10,NM_007202.4
AKAP11,NM_016248.4
AKAP12,NM_005100.4
AKAP13,NM_007200.5
AKAP14,NM_178813.6
AKAP3,NM_001278309.2
AKAP4,NM_003886.3
AKAP5,NM_004857.3
AKAP6,NM_004274.5
AKAP7,NM_016377.4
AKAP8,NM_005858.4
AKAP8L,NM_014371.4
AKAP9,NM_005751.5
AKIP1,NM_020642.4
AKNA,NM_001317950.2
AKNAD1,NM_152763.5
AKR1A1,NM_153326.3
AKR1B10,NM_020299.5
AKR1B15,NM_001080538.3
AKR1C1,NM_001353.6
AKR1C2,NM_001393392.1
AKR1C3,NM_003739.6
AKR1C4,NM_001818.5
AKR1D1,NM_005989.4
AKR1E2,NM_001040177.3
AKR7A2,NM_003689.4
AKR7A3,NM_012067.3
AKT1,NM_001382430.1
AKT1S1,NM_001098633.4
AKT2,NM_001626.6
AKT3,NM_005465.7
AKTIP,NM_022476.4
ALAD,NM_000031.6
ALAS1,NM_000688.6
ALAS2,NM_000032.5
ALB,NM_000477.7
ALCAM,NM_001627.4
ALDH16A1,NM_153329.4
ALDH18A1,NM_002860.4
ALDH1A1,NM_000689.5
ALDH1A2,NM_003888.4
ALDH1A3,NM_000693.4
ALDH1B1,NM_000692.5
ALDH1L1,NM_012190.4
ALDH1L2,NM_001034173.4
ALDH2,NM_000690.4
ALDH3A1,NM_000691.5
ALDH3A2,NM_000382.3
ALDH3B2,NM_001393402.2
ALDH4A1,NM_003748.4
ALDH5A1,NM_001080.3
ALDH6A1,NM_005589.4
ALDH7A1,NM_001182.5
ALDH8A1,NM_022568.4
ALDH9A1,NM_000696.4
ALDOA,NM_001243177.4
ALDOB,NM_000035.4
ALG1,NM_019109.5
ALG10,NM_032834.4
ALG10B,NM_001013620.4
ALG11,NM_001004127.3
ALG12,NM_024105.4
ALG13,NM_001099922.3
ALG14,NM_144988.4
ALG1L2,NM_001136152.1
ALG2,NM_033087.4
ALG3,NM_005787.6
ALG5,NM_013338.5
ALG6,NM_013339.4
ALG8,NM_024079.5
ALG9,NM_024740.2
ALK,NM_004304.5
ALKAL2,NM_001002919.3
ALKBH1,NM_006020.3
ALKBH2,NM_001145374.2
ALKBH4,NM_017621.4
ALKBH8,NM_138775.3
ALLC,NM_018436.4
ALMS1,NM_001378454.1
ALOX12,NM_000697.3
ALOX12B,NM_001139.3
ALOX15,NM_001140.5
ALOX15B,NM_001141.3
ALOX5,NM_000698.5
ALOXE3,NM_021628.3
ALPG,NM_031313.3
ALPI,NM_001631.5
ALPK1,NM_025144.4
ALPK2,NM_052947.4
ALPK3,NM_020778.5
ALPL,NM_000478.6
ALPP,NM_001632.5
ALS2,NM_020919.4
ALS2CL,NM_147129.5
ALX1,NM_006982.3
ALX3,NM_006492.3
ALX4,NM_021926.4
AMACR,NM_014324.6
AMBN,NM_016519.6
AMBP,NM_001633.4
AMBRA1,NM_001387011.1
AMELX,NM_001142.2
AMER1,NM_152424.4
AMER2,NM_152704.4
AMER3,NM_152698.3
AMFR,NM_001144.6
AMH,NM_000479.5
AMHR2,NM_020547.3
AMIGO1,NM_020703.4
AMIGO2,NM_001370299.1
AMMECR1,NM_015365.3
AMMECR1L,NM_001199140.2
AMN,NM_030943.4
AMOT,NM_001113490.2
AMOTL1,NM_130847.3
AMOTL2,NM_016201.4
AMPD1,NM_000036.3
AMPD2,NM_001368809.2
AMPD3,NM_001025389.2
AMPH,NM_001635.4
AMT,NM_000481.4
AMTN,NM_212557.4
AMY1A,NM_004038.4
AMY2A,NM_000699.4
AMY2B,NM_001387437.1
AMZ1,NM_001384743.1
AMZ2,NM_016627.5
ANAPC1,NM_022662.4
ANAPC11,NM_001002248.3
ANAPC15,NM_014042.3
ANAPC2,NM_013366.4
ANAPC5,NM_016237.5
ANG,NM_001097577.3
ANGEL1,NM_015305.4
ANGPT1,NM_001146.5
ANGPT2,NM_001118887.2
ANGPT4,NM_015985.4
ANGPTL3,NM_014495.4
ANGPTL4,NM_139314.3
ANGPTL5,NM_178127.5
ANGPTL6,NM_031917.3
ANGPTL7,NM_021146.4
ANGPTL8,NM_018687.7
ANHX,NM_001372060.1
ANK1,NM_000037.4
ANK2,NM_001148.6
ANK3,NM_020987.5
ANKAR,NM_001378068.1
ANKDD1A,NM_182703.6
ANKDD1B,NM_001276713.2
ANKFN1,NM_001370326.1
ANKFY1,NM_001330063.2
ANKH,NM_054027.6
ANKHD1,NM_017747.3
ANKIB1,NM_019004.2
ANKK1,NM_178510.2
ANKLE1,NM_152363.6
ANKLE2,NM_015114.3
ANKMY1,NM_001282771.3
ANKRD1,NM_014391.3
ANKRD10,NM_017664.4
ANKRD11,NM_013275.6
ANKRD12,NM_015208.5
ANKRD13A,NM_033121.2
ANKRD13C,NM_030816.5
ANKRD16,NM_019046.3
ANKRD17,NM_032217.5
ANKRD18A,NM_147195.4
ANKRD2,NM_001291218.2
ANKRD20A1,NM_032250.5
ANKRD23,NM_144994.8
ANKRD24,NM_001393985.1
ANKRD26,NM_014915.3
ANKRD27,NM_032139.3
ANKRD30A,NM_052997.3
ANKRD30B,NM_001367607.2
ANKRD31,NM_001372053.1
ANKRD33B,NM_001164440.2
ANKRD34B,NM_001004441.3
ANKRD35,NM_144698.5
ANKRD36,NM_001354587.1
ANKRD36C,NM_001393982.1
ANKRD50,NM_020337.3
ANKRD53,NM_001115116.2
ANKRD54,NM_138797.4
ANKRD55,NM_024669.3
ANKRD6,NM_001242809.2
ANKRD65,NM_001145210.3
ANKRD66,NM_001162435.3
ANKRD7,NM_019644.4
ANKS1A,NM_015245.3
ANKS1B,NM_001352186.2
ANKS3,NM_133450.4
ANKS4B,NM_145865.3
ANKS6,NM_173551.5
ANKUB1,NM_001144960.3
ANKZF1,NM_018089.3
ANLN,NM_018685.5
ANO1,NM_018043.7
ANO10,NM_018075.5
ANO2,NM_001364791.2
ANO3,NM_031418.4
ANO4,NM_001286615.2
