Gene,Transcript
CXCR4,NM_003467.3
CXCR5,NM_001716.5
CXXC5,NM_016463.9
CYB561A3,NM_153611.6
CYB561D2,NM_001291284.2
CYB5A,NM_148923.4
CYB5D1,NM_144607.6
CYB5D2,NM_144611.4
CYB5R2,NM_016229.5
CYB5R3,NM_000398.7
CYB5R4,NM_016230.4
CYBA,NM_000101.4
CYBB,NM_000397.4
CYBC1,NM_001033046.4
CYBRD1,NM_024843.4
CYC1,NM_001916.5
CYCS,NM_018947.6
CYFIP1,NM_014608.6
CYFIP2,NM_001037333.3
CYGB,NM_134268.5
CYLC1,NM_021118.3
CYLC2,NM_001340.5
CYLD,NM_001378743.1
CYP11A1,NM_000781.3
CYP11B1,NM_000497.4
CYP11B2,NM_000498.3
CYP17A1,NM_000102.4
CYP19A1,NM_000103.4
CYP1A1,NM_001319217.2
CYP1A2,NM_000761.5
CYP1B1,NM_000104.4
CYP20A1,NM_177538.3
CYP21A2,NM_000500.9
CYP24A1,NM_000782.5
CYP26B1,NM_019885.4
CYP26C1,NM_183374.3
CYP27A1,NM_000784.4
CYP27B1,NM_000785.4
CYP27C1,NM_001367502.1
CYP2A13,NM_000766.5
CYP2A6,NM_000762.6
CYP2A7,NM_000764.3
CYP2B6,NM_000767.5
CYP2C18,NM_000772.3
CYP2C19,NM_000769.1
CYP2C8,NM_000770.3
CYP2C9,NM_000771.4
CYP2D6,NM_000106.6
CYP2E1,NM_000773.4
CYP2F1,NM_000774.5
CYP2J2,NM_000775.4
CYP2R1,NM_024514.5
CYP2S1,NM_030622.8
CYP2U1,NM_183075.3
CYP2W1,NM_017781.3
CYP39A1,NM_016593.5
CYP3A4,NM_017460.6
CYP3A43,NM_057095.3
CYP3A5,NM_000777.5
CYP3A7,NM_000765.5
CYP46A1,NM_006668.2
CYP4A11,NM_000778.4
CYP4A22,NM_001010969.4
CYP4B1,NM_001099772.2
CYP4F11,NM_021187.4
CYP4F12,NM_023944.4
CYP4F2,NM_001082.5
CYP4F22,NM_173483.4
CYP4F3,NM_000896.3
CYP4F8,NM_007253.4
CYP4V2,NM_207352.4
CYP4X1,NM_178033.2
CYP4Z1,NM_178134.3
CYP51A1,NM_000786.4
CYP7A1,NM_000780.4
CYP7B1,NM_004820.5
CYP8B1,NM_004391.3
CYREN,NM_024033.4
CYS1,NM_001037160.3
CYSLTR1,NM_006639.4
CYSLTR2,NM_001308476.3
CYTH4,NM_013385.5
CYTL1,NM_018659.3
D2HGDH,NM_152783.5
DAAM1,NM_001270520.2
DAAM2,NM_001201427.2
DAB1,NM_001365792.1
DAB2,NM_001343.4
DAB2IP,NM_001395010.1
DACT1,NM_001079520.2
DACT2,NM_214462.5
DAG1,NM_004393.6
DAGLA,NM_006133.3
DAGLB,NM_139179.4
DALRD3,NM_001009996.3
DAND5,NM_152654.3
DAO,NM_001917.5
DAOA,NM_172370.5
DAP3,NM_004632.4
DAPK1,NM_004938.4
DAPK2,NM_014326.5
DARS1,NM_001349.4
DARS2,NM_018122.5
DAW1,NM_178821.3
DAXX,NM_001141969.2
DAZAP2,NM_014764.4
DAZL,NM_001351.4
DBF4,NM_006716.4
DBF4B,NM_145663.3
DBH,NM_000787.4
DBI,NM_001079862.4
DBN1,NM_001363541.2
DBNDD1,NM_001042610.3
DBNL,NM_001014436.3
DBP,NM_001352.5
DBR1,NM_016216.4
DBT,NM_001918.5
DBX2,NM_001004329.3
DCAF10,NM_024345.5
DCAF11,NM_025230.5
DCAF12L1,NM_178470.5
DCAF13,NM_015420.6
DCAF15,NM_138353.4
DCAF17,NM_025000.4
DCAF4,NM_015604.4
DCAF4L2,NM_152418.4
DCAF5,NM_003861.3
DCAF6,NM_001198956.2
DCAF8,NM_015726.4
DCAF8L1,NM_001017930.2
DCAF8L2,NM_001353450.2
DCANP1,NM_130848.3
DCBLD1,NM_001366458.2
DCBLD2,NM_080927.4
DCC,NM_005215.4
DCD,NM_053283.4
DCDC1,NM_001387274.1
DCDC2,NM_016356.5
DCDC2B,NM_001099434.2
DCDC2C,NM_001287444.2
DCHS1,NM_003737.4
DCHS2,NM_001358235.2
DCLK2,NM_001040260.4
DCLK3,NM_001394672.2
DCLRE1A,NM_014881.5
DCLRE1B,NM_022836.4
DCLRE1C,NM_001033855.3
DCN,NM_001920.5
DCP1A,NM_018403.7
DCP1B,NM_152640.5
DCPS,NM_014026.6
DCST1,NM_152494.4
DCST2,NM_144622.3
DCSTAMP,NM_030788.4
DCT,NM_001922.5
DCTN1,NM_004082.5
DCTN2,NM_001261413.2
DCTN4,NM_016221.4
DCTPP1,NM_024096.2
DCUN1D2,NM_001014283.2
DCUN1D4,NM_001040402.3
DCX,NM_001195553.2
DCXR,NM_016286.4
DDAH2,NM_001303007.2
DDB1,NM_001923.5
DDB2,NM_000107.3
DDC,NM_001082971.2
DDHD1,NM_001160148.2
DDHD2,NM_015214.3
DDI1,NM_001001711.3
DDIAS,NM_145018.4
DDIT3,NM_004083.6
DDN,NM_015086.2
DDO,NM_001372108.2
DDOST,NM_005216.5
DDR1,NM_001297654.2
DDR2,NM_006182.4
DDRGK1,NM_023935.3
DDX1,NM_004939.3
DDX10,NM_004398.4
DDX11,NM_030653.4
DDX18,NM_006773.4
DDX20,NM_007204.5
DDX21,NM_004728.4
DDX23,NM_004818.3
DDX24,NM_020414.4
DDX27,NM_017895.8
DDX31,NM_022779.9
DDX39A,NM_005804.4
DDX3X,NM_001356.5
DDX4,NM_024415.3
DDX41,NM_016222.4
DDX42,NM_203499.3
DDX43,NM_018665.3
DDX49,NM_019070.5
DDX50,NM_024045.2
DDX51,NM_175066.4
DDX53,NM_182699.4
DDX54,NM_024072.4
DDX55,NM_020936.3
DDX56,NM_019082.4
DDX59,NM_001031725.6
DDX6,NM_004397.6
DDX60,NM_017631.6
DDX60L,NM_001012967.3
DEAF1,NM_021008.4
DECR1,NM_001359.2
DEF6,NM_022047.4
DEF8,NM_001242818.2
DEFA4,NM_001925.3
DEFA5,NM_021010.3
DEFA6,NM_001926.4
DEFB1,NM_005218.4
DEFB104A,NM_080389.3
DEFB104B,NM_001040702.1
DEFB105A,NM_152250.3
DEFB106A,NM_152251.4
DEFB107A,NM_001037668.1
DEFB108B,NM_001002035.2
DEFB115,NM_001037730.1
DEFB119,NM_153289.4
DEFB123,NM_153324.4
DEFB125,NM_153325.4
DEFB126,NM_030931.4
DEFB128,NM_001037732.3
DEFB132,NM_207469.3
DEFB135,NM_001033017.3
DEFB4A,NM_004942.4
DEGS1,NM_003676.4
DEGS2,NM_206918.3
DEK,NM_003472.4
DELE1,NM_014773.5
DENND1A,NM_001352964.2
DENND1B,NM_001195215.2
DENND1C,NM_024898.4
DENND2B,NM_213618.2
DENND2D,NM_024901.5
DENND3,NM_001352890.3
DENND4A,NM_001320835.1
DENND4B,NM_014856.3
DENND4C,NM_001330640.2
DENND5A,NM_015213.4
DENND5B,NM_144973.4
DENND6B,NM_001001794.4
DENR,NM_003677.5
DEPDC1,NM_001114120.3
DEPDC4,NM_001364818.2
DEPDC5,NM_001242896.3
DEPDC7,NM_001077242.2
DEPP1,NM_007021.4
DEPTOR,NM_022783.4
DERPC,NM_001002847.4
DES,NM_001927.4
DFFA,NM_004401.3
DFFB,NM_004402.4
DGAT1,NM_012079.6
DGAT2,NM_032564.5
DGAT2L6,NM_198512.3
DGCR2,NM_005137.3
DGCR6,NM_005675.6
DGCR8,NM_022720.7
DGKA,NM_001345.5
DGKB,NM_001350709.2
DGKD,NM_152879.3
DGKE,NM_003647.3
DGKG,NM_001346.3
DGKH,NM_178009.5
DGKI,NM_001321708.2
DGKK,NM_001013742.4
DGKQ,NM_001347.4
DGKZ,NM_001199267.2
DGUOK,NM_080916.3
DHCR24,NM_014762.4
DHCR7,NM_001360.3
DHDDS,NM_205861.3
DHDH,NM_014475.4
DHFR,NM_000791.4
DHH,NM_021044.4
DHODH,NM_001361.5
DHRS1,NM_001136050.3
DHRS12,NM_001377533.1
DHRS13,NM_144683.4
DHRS2,NM_005794.4
DHRS3,NM_004753.7
DHRS4,NM_021004.4
DHRS4L2,NM_198083.4
DHRS7B,NM_015510.5
DHRS9,NM_001376924.1
DHTKD1,NM_018706.7
DHX16,NM_003587.5
DHX29,NM_019030.4
DHX30,NM_138615.3
DHX32,NM_018180.3
DHX34,NM_014681.6
DHX35,NM_021931.4
DHX36,NM_020865.3
DHX37,NM_032656.4
DHX38,NM_014003.4
DHX57,NM_198963.3
DHX58,NM_024119.3
DHX9,NM_001357.5
DIABLO,NM_001371333.1
DIAPH1,NM_005219.5
DIAPH2,NM_006729.5
DIAPH3,NM_001042517.2
DICER1,NM_177438.3
DIDO1,NM_001193369.2
DIO1,NM_000792.7
DIO2,NM_013989.5
DIO3,NM_001362.4
DIP2A,NM_015151.4
DIP2B,NM_173602.3
DIP2C,NM_014974.3
DIPK1B,NM_152421.4
DIPK1C,NM_001044369.3
DIPK2B,NM_176819.4
DIRAS1,NM_145173.4
DIRAS3,NM_004675.5
DIS3,NM_014953.5
DIS3L,NM_001143688.3
DIS3L2,NM_152383.5
DISC1,NM_018662.3
DISP1,NM_001377229.1
DISP2,NM_033510.3
DISP3,NM_020780.2
DIXDC1,NM_001037954.4
DKC1,NM_001363.5
DKK1,NM_012242.4
DKK3,NM_001018057.2
DKK4,NM_014420.3
DKKL1,NM_014419.4
DLAT,NM_001931.5
DLC1,NM_182643.3
DLD,NM_000108.5
DLEC1,NM_007335.4
DLG1,NM_001366207.1
DLG2,NM_001142699.3
DLG3,NM_021120.4
DLG4,NM_001321075.3
DLG5,NM_004747.4
DLGAP1,NM_004746.4
DLGAP2,NM_001346810.2
DLGAP3,NM_001080418.3
DLGAP4,NM_001365621.2
DLGAP5,NM_014750.5
DLK1,NM_003836.7
DLK2,NM_023932.4
DLL1,NM_005618.4
DLL3,NM_203486.3
DLL4,NM_019074.4
DLST,NM_001933.5
DLX3,NM_005220.3
DLX4,NM_138281.3
DLX5,NM_005221.6
DLX6,NM_005222.4
DMAC2,NM_018035.3
DMAC2L,NM_001382507.1
DMBT1,NM_001377530.1
DMBX1,NM_172225.2
DMC1,NM_007068.4
DMD,NM_004006.3
DMGDH,NM_013391.3
DMKN,NM_033317.5
DMP1,NM_004407.4
DMPK,NM_004409.5
DMRT1,NM_021951.3
DMRT2,NM_181872.6
DMRT3,NM_021240.4
DMRTA1,NM_022160.3
DMRTB1,NM_033067.3
DMRTC2,NM_001040283.3
DMTF1,NM_001142327.2
DMTN,NM_001387751.1
DMWD,NM_004943.2
DMXL1,NM_001290321.3
DMXL2,NM_001378457.1
DNA2,NM_001080449.3
DNAAF1,NM_178452.6
DNAAF10,NM_138458.4
DNAAF11,NM_012472.6
DNAAF2,NM_018139.3
DNAAF3,NM_001256715.2
DNAAF4,NM_130810.4
DNAAF5,NM_017802.4
DNAAF6,NM_173494.2
DNAAF9,NM_001009984.3
DNAH1,NM_015512.5
DNAH10,NM_001372106.1
DNAH11,NM_001277115.2
DNAH12,NM_001366028.2
DNAH14,NM_001367479.1
DNAH17,NM_173628.4
DNAH2,NM_020877.5
DNAH3,NM_001347886.2
DNAH5,NM_001369.3
DNAH6,NM_001370.2
DNAH7,NM_018897.3
DNAH8,NM_001206927.2
DNAH9,NM_001372.4
DNAI1,NM_012144.4
DNAI2,NM_023036.6
DNAI3,NM_145172.5
DNAI4,NM_024763.5
DNAI7,NM_018272.5
DNAJA3,NM_005147.6
DNAJB11,NM_016306.6
DNAJB12,NM_017626.7
DNAJB13,NM_153614.4
DNAJB2,NM_006736.6
DNAJB4,NM_001317100.2
DNAJB5,NM_001349723.3
DNAJB6,NM_058246.4
DNAJB7,NM_145174.2
DNAJB8,NM_153330.6
DNAJB9,NM_012328.3
DNAJC1,NM_022365.4
DNAJC10,NM_018981.4
DNAJC12,NM_021800.3
DNAJC13,NM_015268.4
DNAJC14,NM_032364.6
DNAJC15,NM_013238.3
DNAJC16,NM_015291.4
DNAJC17,NM_018163.3
DNAJC18,NM_152686.4
DNAJC19,NM_145261.4
DNAJC21,NM_001012339.3
DNAJC22,NM_001304944.2
DNAJC27,NM_016544.3
DNAJC28,NM_001040192.3
DNAJC3,NM_006260.5
DNAJC30,NM_032317.3
DNAJC4,NM_005528.4
DNAJC5,NM_025219.3
DNAJC5B,NM_033105.6
DNAJC5G,NM_173650.3
DNAJC6,NM_001256864.2
DNAL1,NM_031427.4
DNALI1,NM_003462.5
DNASE1,NM_005223.4
DNASE1L1,NM_001303620.2
DNASE1L3,NM_004944.4
DNASE2,NM_001375.3
DND1,NM_194249.3
DNER,NM_139072.4
DNHD1,NM_144666.3
DNM1,NM_004408.4
DNM1L,NM_012062.5
DNM2,NM_001005361.3
DNM3,NM_015569.5
DNMBP,NM_015221.4
DNMT1,NM_001130823.3
DNMT3A,NM_022552.5
DNMT3B,NM_006892.4
DNMT3L,NM_175867.3
DNPEP,NM_012100.4
DNTT,NM_004088.4
DNTTIP1,NM_052951.3
DNTTIP2,NM_014597.5
DOC2A,NM_003586.3
DOCK1,NM_001290223.2
DOCK10,NM_014689.3
DOCK11,NM_144658.4
DOCK2,NM_004946.3
DOCK3,NM_004947.5
DOCK4,NM_001363540.2
DOCK5,NM_024940.8
DOCK6,NM_020812.4
DOCK7,NM_001367561.1
DOCK8,NM_203447.4
DOCK9,NM_001366683.2
DOK2,NM_003974.4
DOK3,NM_001308236.3
DOK4,NM_018110.5
DOK5,NM_018431.5
DOK7,NM_173660.5
DOLK,NM_014908.4
DOLPP1,NM_020438.5
DONSON,NM_017613.4
DOP1A,NM_015018.4
DOP1B,NM_001320714.2
DOT1L,NM_032482.3
DPAGT1,NM_001382.4
DPCD,NM_015448.3
DPEP1,NM_001389466.1
DPEP2,NM_022355.4
DPEP3,NM_001370198.1
DPF2,NM_006268.5
DPH1,NM_001383.6
DPH2,NM_001384.5
DPH6,NM_080650.4
DPH7,NM_138778.5
DPM1,NM_003859.3
DPM2,NM_003863.4
DPM3,NM_153741.2
DPP10,NM_020868.6
DPP3,NM_130443.4
DPP4,NM_001935.4
DPP6,NM_130797.4
DPP7,NM_013379.3
DPP9,NM_139159.5
DPPA2,NM_138815.4
DPPA3,NM_199286.4
DPRX,NM_001012728.2
DPT,NM_001937.5
DPY19L1,NM_001366673.1
DPY19L2,NM_173812.5
DPY19L3,NM_001172774.2
DPY19L4,NM_181787.3
DPYD,NM_000110.4
DPYS,NM_001385.3
DPYSL2,NM_001197293.3
DPYSL3,NM_001197294.2
DPYSL4,NM_006426.3
DPYSL5,NM_020134.4
DQX1,NM_133637.3
DRAM2,NM_001349884.2
DRAXIN,NM_198545.4
DRC1,NM_145038.5
DRC12,NM_001145018.3
DRC3,NM_031294.4
DRC7,NM_001289162.2
DRD2,NM_000795.4
DRD3,NM_000796.6
DRD4,NM_000797.4
DRD5,NM_000798.5
DRG1,NM_004147.4
DRG2,NM_001388.5
DROSHA,NM_001382508.1
DRP2,NM_001939.3
DSC1,NM_024421.2
DSC2,NM_024422.6
DSC3,NM_001941.5
DSCAM,NM_001389.5
DSCAML1,NM_020693.4
DSE,NM_013352.4
DSEL,NM_032160.3
DSG1,NM_001942.4
DSG2,NM_001943.5
DSG3,NM_001944.3
DSG4,NM_177986.5
DSP,NM_004415.4
DSPP,NM_014208.3
DST,NM_001374736.1
DSTYK,NM_015375.3
DTHD1,NM_001170700.3
DTL,NM_016448.4
DTNA,NM_001386795.1
DTNB,NM_021907.5
DTNBP1,NM_032122.5
DTWD2,NM_173666.4
DTX2,NM_001102594.3
DTX3L,NM_138287.3
DTX4,NM_015177.2
DTYMK,NM_012145.4
DUOX1,NM_175940.3
DUOX2,NM_001363711.2
DUOXA1,NM_001276266.2
DUOXA2,NM_207581.4
DUS3L,NM_020175.3
DUSP10,NM_007207.6
DUSP11,NM_003584.3
DUSP12,NM_007240.3
DUSP13B,NM_001363514.2
DUSP15,NM_080611.5
DUSP18,NM_152511.5
DUSP21,NM_022076.4
DUSP22,NM_001286555.3
DUSP29,NM_001003892.3
DUSP4,NM_001394.7
DUSP5,NM_004419.4
DUSP6,NM_001946.4
DUSP8,NM_004420.3
DUSP9,NM_001318503.2
DUT,NM_001025248.2
DUXA,NM_001012729.2
DVL1,NM_001330311.2
DVL2,NM_004422.3
DVL3,NM_004423.4
DXO,NM_005510.4
DYDC1,NM_001269053.2
DYDC2,NM_032372.6
DYM,NM_001353214.3
DYNAP,NM_173629.3
DYNC1H1,NM_001376.5
DYNC1I1,NM_001135556.2
DYNC1I2,NM_001378.3
DYNC2H1,NM_001377.3
DYNC2I1,NM_018051.5
DYNC2I2,NM_052844.4
DYNC2LI1,NM_016008.4
DYNLT2,NM_174910.3
DYNLT2B,NM_152773.5
DYNLT4,NM_001377534.1
DYNLT5,NM_152665.3
DYRK1A,NM_001347721.2
DYRK1B,NM_004714.3
DYRK4,NM_001394779.1
DYSF,NM_001130987.2
DYTN,NM_001093730.1
DZIP1,NM_198968.4
DZIP1L,NM_173543.3
DZIP3,NM_014648.4
E2F1,NM_005225.3
E2F2,NM_004091.4
E2F3,NM_001949.5
E2F7,NM_203394.3
E2F8,NM_024680.4
E4F1,NM_004424.5
EAF1,NM_033083.7
EAF2,NM_018456.6
EAPP,NM_018453.4
EARS2,NM_001083614.2
EBF3,NM_001375380.1
EBI3,NM_005755.3
EBLN1,NM_001394757.1
EBNA1BP2,NM_006824.3
EBP,NM_006579.3
EBPL,NM_032565.5
ECD,NM_007265.3
ECE1,NM_001397.3
ECE2,NM_001100121.2
ECEL1,NM_004826.4
ECH1,NM_001398.3
ECHDC1,NM_001002030.2
ECHDC2,NM_001198961.2
ECHDC3,NM_024693.5
ECHS1,NM_004092.4
ECI1,NM_001919.4
ECI2,NM_206836.3
ECM1,NM_004425.4
ECM2,NM_001393.4
ECPAS,NM_001364929.1
ECRG4,NM_032411.3
ECSIT,NM_016581.5
ECT2L,NM_001077706.3
EDA,NM_001399.5
EDA2R,NM_021783.5
EDAR,NM_022336.4
EDARADD,NM_145861.4
EDC3,NM_025083.5
EDC4,NM_014329.5
EDDM3A,NM_006683.5
EDEM1,NM_014674.3
EDEM2,NM_018217.3
EDEM3,NM_025191.4
EDIL3,NM_005711.5
EDN1,NM_001955.5
EDN2,NM_001956.5
EDN3,NM_207034.3
EDNRA,NM_001957.4
EDNRB,NM_001122659.3
EDRF1,NM_001202438.2
EEA1,NM_003566.4
EED,NM_003797.5
EEF1A2,NM_001958.5
EEF1AKMT2,NM_212554.4
EEF1AKMT3,NM_015433.3
EEF1AKMT4,NM_032331.4
EEF1B2,NM_001959.4
EEF1D,NM_001130053.5
EEF2,NM_001961.4
EEF2K,NM_013302.5
EEF2KMT,NM_201400.4
EEFSEC,NM_021937.5
EEPD1,NM_030636.3
EFCAB12,NM_207307.3
EFCAB13,NM_152347.5
EFCAB3,NM_001144933.2
EFCAB5,NM_198529.4
EFCAB6,NM_022785.4
EFCAB7,NM_032437.4
EFCC1,NM_001377500.1
EFEMP1,NM_001039348.3
EFEMP2,NM_016938.5
EFHB,NM_144715.4
EFHC1,NM_018100.4
EFHC2,NM_025184.4
EFHD1,NM_025202.4
EFL1,NM_024580.6
EFNA1,NM_004428.3
EFNA2,NM_001405.4
EFNA4,NM_005227.3
EFNB1,NM_004429.5
EFNB2,NM_004093.4
EFNB3,NM_001406.4
EFR3A,NM_015137.6
EFTUD2,NM_004247.4
EGF,NM_001963.6
EGFL6,NM_015507.4
EGFL7,NM_016215.5
EGFL8,NM_030652.4
EGFLAM,NM_152403.4
EGFR,NM_005228.5
EGLN1,NM_022051.3
EGLN2,NM_080732.4
EGLN3,NM_022073.4
EGR2,NM_000399.5
EGR4,NM_001965.4
EHBP1,NM_001142616.3
EHBP1L1,NM_001099409.3
EHD3,NM_014600.3
EHD4,NM_139265.4
EHF,NM_012153.6
EHHADH,NM_001966.4
EHMT1,NM_024757.5
EHMT2,NM_006709.5
EID1,NM_014335.3
EID3,NM_001008394.3
EIF2A,NM_032025.5
EIF2AK1,NM_014413.4
EIF2AK2,NM_001135651.3
EIF2AK3,NM_004836.7
EIF2AK4,NM_001013703.4
EIF2B1,NM_001414.4
EIF2B2,NM_014239.4
EIF2B3,NM_020365.5
EIF2B4,NM_001034116.2
EIF2B5,NM_003907.3
EIF2D,NM_006893.3
EIF2S1,NM_004094.5
EIF2S3,NM_001415.4
EIF2S3B,NM_001357734.3
EIF3A,NM_003750.4
EIF3B,NM_001037283.2
EIF3F,NM_003754.3
EIF3G,NM_003755.5
EIF4A2,NM_001967.4
EIF4E1B,NM_001099408.2
EIF4EBP2,NM_004096.5
EIF4EBP3,NM_003732.3
EIF4ENIF1,NM_019843.4
EIF4G1,NM_198241.3
EIF4G2,NM_001418.4
EIF4G3,NM_001391906.1
EIF5A,NM_001970.5
EIF5B,NM_015904.4
ELAC2,NM_018127.7
ELANE,NM_001972.4
ELAPOR2,NM_001142749.3
ELF2,NM_001331036.3
ELF3,NM_004433.5
ELF4,NM_001421.4
ELFN1,NM_001128636.4
ELFN2,NM_052906.5
ELK1,NM_001114123.3
ELK3,NM_005230.4
ELK4,NM_001973.4
ELL,NM_006532.4
ELL2,NM_012081.6
ELL3,NM_025165.3
ELMO2,NM_133171.5
ELMO3,NM_024712.5
ELMOD1,NM_018712.4
ELMOD2,NM_153702.4
ELMOD3,NM_001135022.2
ELN,NM_000501.4
ELOA,NM_003198.3
ELOA2,NM_016427.3
ELOVL1,NM_022821.4
ELOVL3,NM_152310.3
ELOVL4,NM_022726.4
ELOVL5,NM_021814.5
ELOVL7,NM_024930.3
ELP1,NM_003640.5
ELP2,NM_018255.4
ELP4,NM_019040.5
ELP5,NM_203414.3
ELP6,NM_001031703.3
EMC1,NM_015047.3
EMC10,NM_206538.4
EMC7,NM_020154.3
EMCN,NM_016242.4
EMD,NM_000117.3
EME1,NM_152463.4
EME2,NM_001257370.2
EMG1,NM_006331.8
EMID1,NM_133455.4
EMILIN1,NM_007046.4
EMILIN2,NM_032048.3
EMILIN3,NM_052846.2
EML1,NM_004434.3
EML3,NM_153265.3
EML4,NM_019063.5
EML5,NM_183387.3
EML6,NM_001039753.4
EMP2,NM_001424.6
EMSY,NM_001300942.2
EMX2,NM_004098.4
EN1,NM_001426.4
ENAH,NM_018212.6
ENAM,NM_031889.3
ENDOD1,NM_015036.3
ENDOG,NM_004435.2
ENDOU,NM_001172439.2
ENDOV,NM_173627.5
ENG,NM_001114753.3
ENGASE,NM_001042573.3
ENKD1,NM_032140.3
ENKUR,NM_145010.4
ENO3,NM_053013.4
ENO4,NM_001242699.2
ENOPH1,NM_021204.5
ENOSF1,NM_017512.7
ENOX1,NM_001347969.2
ENPEP,NM_001977.4
ENPP1,NM_006208.3
ENPP2,NM_001040092.3
ENPP3,NM_005021.5
ENPP4,NM_014936.5
ENPP5,NM_001290072.2
ENPP7,NM_178543.5
ENTHD1,NM_152512.4
ENTPD1,NM_001776.6
ENTPD2,NM_203468.3
ENTPD3,NM_001248.4
ENTPD4,NM_004901.5
ENTPD6,NM_001247.5
ENTPD7,NM_020354.5
ENTPD8,NM_001033113.2
ENTR1,NM_001039707.2
ENTREP1,NM_001347995.2
ENTREP2,NM_015307.2
EOGT,NM_001278689.2
EOMES,NM_001278182.2
EP300,NM_001429.4
EP400,NM_015409.5
EPAS1,NM_001430.5
EPB41,NM_001376013.1
EPB41L1,NM_012156.2
EPB41L2,NM_001431.4
EPB41L3,NM_012307.5
EPB41L4A,NM_022140.5
EPB41L4B,NM_019114.5
EPB41L5,NM_020909.4
EPB42,NM_001114134.2
EPC1,NM_001272004.3
EPCAM,NM_002354.3
EPG5,NM_020964.3
EPHA1,NM_005232.5
EPHA10,NM_001099439.2
EPHA2,NM_004431.5
EPHA3,NM_005233.6
EPHA4,NM_004438.5
EPHA5,NM_001281766.3
EPHA6,NM_001080448.3
EPHA7,NM_004440.4
EPHA8,NM_020526.5
EPHB2,NM_017449.5
EPHB3,NM_004443.4
EPHB4,NM_004444.5
EPHB6,NM_004445.6
EPHX1,NM_001136018.4
EPHX2,NM_001979.6
EPHX3,NM_024794.3
EPM2A,NM_005670.4
EPM2AIP1,NM_014805.4
EPN1,NM_001130072.2
EPN2,NM_014964.5
EPN3,NM_017957.3
EPO,NM_000799.4
EPOR,NM_000121.4
EPPK1,NM_031308.4
EPRS1,NM_004446.3
EPS15,NM_001981.3
EPS15L1,NM_001258374.3
EPS8,NM_004447.6
EPS8L2,NM_022772.4
EPS8L3,NM_133181.4
EPSTI1,NM_033255.5
EPX,NM_000502.6
EPYC,NM_004950.5
EQTN,NM_020641.3
ERAL1,NM_005702.4
ERAP1,NM_001040458.3
ERAP2,NM_022350.5
ERAS,NM_181532.3
ERBB2,NM_004448.4
ERBB3,NM_001982.4
ERBB4,NM_005235.3
ERBIN,NM_001253697.2
ERC1,NM_178040.4
ERCC1,NM_001983.4
ERCC2,NM_000400.4
ERCC3,NM_000122.2
ERCC4,NM_005236.3
ERCC5,NM_000123.4
ERCC6,NM_000124.4
ERCC6L,NM_017669.4
ERCC6L2,NM_020207.7
ERCC8,NM_000082.4
EREG,NM_001432.3
ERF,NM_006494.4
ERGIC1,NM_001031711.3
ERGIC2,NM_016570.3
ERI1,NM_153332.4
ERI2,NM_001142725.2
ERICH1,NM_207332.3
ERICH2,NM_001290030.2
ERICH3,NM_001002912.5
ERICH4,NM_001130514.3
ERICH5,NM_173549.3
ERICH6,NM_152394.5
ERICH6B,NM_182542.3
ERLEC1,NM_015701.5
ERLIN1,NM_006459.4
ERLIN2,NM_007175.8
ERMAP,NM_001017922.2
ERMARD,NM_018341.3
ERMN,NM_020711.3
ERMP1,NM_024896.3
ERN1,NM_001433.5
ERN2,NM_033266.4
ERO1B,NM_019891.4
ERP27,NM_152321.4
ERRFI1,NM_018948.4
ESAM,NM_138961.3
ESCO1,NM_052911.3
ESCO2,NM_001017420.3
ESD,NM_001984.2
ESF1,NM_001276380.2
ESM1,NM_007036.5
ESPL1,NM_012291.5
ESPN,NM_031475.3
ESPNL,NM_194312.4
ESR1,NM_000125.4
ESR2,NM_001437.3
ESRP1,NM_017697.4
ESRP2,NM_024939.3
ESRRA,NM_004451.5
ESRRB,NM_001379180.1
ESS2,NM_022719.3
ESX1,NM_153448.4
ESYT1,NM_015292.3
ESYT2,NM_001367773.1
ESYT3,NM_031913.5
ETAA1,NM_019002.4
ETFA,NM_000126.4
ETFB,NM_001985.3
ETFDH,NM_004453.4
ETHE1,NM_014297.5
ETNK2,NM_018208.4
ETNPPL,NM_031279.4
ETS1,NM_001143820.2
ETS2,NM_005239.6
ETV2,NM_014209.4
ETV3,NM_001145312.3
ETV3L,NM_001004341.2
ETV4,NM_001079675.5
ETV5,NM_004454.3
ETV6,NM_001987.5
ETV7,NM_016135.4
EVA1A,NM_001135032.2
EVA1B,NM_001304762.2
EVA1C,NM_058187.5
EVC,NM_153717.3
EVC2,NM_147127.5
EVI2A,NM_014210.4
EVI2B,NM_006495.4
EVI5,NM_001350197.2
EVL,NM_016337.3
EVPL,NM_001988.4
EVX2,NM_001080458.2
EWSR1,NM_005243.4
EXD1,NM_001286441.2
EXD3,NM_017820.5
EXO1,NM_130398.4
EXO5,NM_001346953.2
EXOC1,NM_001024924.2
EXOC2,NM_018303.6
EXOC3,NM_007277.5
EXOC3L1,NM_178516.4
EXOC3L2,NM_001382422.1
EXOC3L4,NM_001077594.2
EXOC4,NM_021807.4
EXOC6B,NM_015189.3
EXOC7,NM_001013839.4
EXOC8,NM_175876.5
EXOSC10,NM_001001998.3
EXOSC2,NM_014285.7
EXOSC3,NM_016042.4
EXOSC5,NM_020158.4
EXOSC8,NM_181503.3
EXOSC9,NM_005033.3
EXPH5,NM_015065.3
EXT1,NM_000127.3
EXT2,NM_207122.2
EXTL1,NM_004455.3
