pair_id,Gene,DMS_dataset,CBGE_dataset,model_short,platform,fold,raw_calm_weight,training_sd_plm,training_sd_calm,standardized_equivalent_calm_weight
BRCA1|dataset0163|dataset0154,BRCA1,dataset0163,dataset0154,150M,CBGE,9,0.405,2.351288661717988,2.1859000454524473,0.3875528991927083
BRCA1|dataset0163|dataset0154,BRCA1,dataset0163,dataset0154,150M,CBGE,10,0.15,2.3885119301804827,2.210636277615668,0.14039764076559244
BRCA1|dataset0153|dataset0154,BRCA1,dataset0153,dataset0154,150M,DMS,1,0.0,2.408276134734071,2.2707278986891395,0.0
BRCA1|dataset0153|dataset0154,BRCA1,dataset0153,dataset0154,150M,DMS,2,0.02,2.3719449193753874,2.2504885529900345,0.018995345467144698
BRCA1|dataset0153|dataset0154,BRCA1,dataset0153,dataset0154,150M,DMS,3,0.02,2.358830379084242,2.206594194941172,0.01873340377875092
BRCA1|dataset0153|dataset0154,BRCA1,dataset0153,dataset0154,150M,DMS,4,0.02,2.3673409893336594,2.232846895999085,0.018885212190063234
BRCA1|dataset0153|dataset0154,BRCA1,dataset0153,dataset0154,150M,DMS,5,0.02,2.376802832292793,2.2140381977128887,0.0186559414612348
BRCA1|dataset0153|dataset0154,BRCA1,dataset0153,dataset0154,150M,DMS,6,0.02,2.363913347656918,2.2490828131195393,0.019046975556319973
BRCA1|dataset0153|dataset0154,BRCA1,dataset0153,dataset0154,150M,DMS,7,0.02,2.3298662167696302,2.2115138180886564,0.019003347865706417
BRCA1|dataset0153|dataset0154,BRCA1,dataset0153,dataset0154,150M,DMS,8,0.02,2.377692522075418,2.2523411414992074,0.018965602027706776
BRCA1|dataset0153|dataset0154,BRCA1,dataset0153,dataset0154,150M,DMS,9,0.0,2.337338404343741,2.211559569796494,0.0
BRCA1|dataset0153|dataset0154,BRCA1,dataset0153,dataset0154,150M,DMS,10,0.02,2.3866632258565867,2.2391547131689427,0.01878711624208198
BRCA1|dataset0153|dataset0154,BRCA1,dataset0153,dataset0154,150M,CBGE,1,0.005,2.408276134734071,2.2707278986891395,0.004715772647784935
