pair_id,Gene,DMS_dataset,CBGE_dataset,platform,n_variants,n_cases,n_controls,label_concordance,n_folds,mean_calm_weight,sd_calm_weight,mean_auroc_esm2_650m,mean_auroc_calm,mean_auroc_combo,mean_delta_combo_vs_esm2_650m,paired_folds,delta_CBGE_minus_DMS,p_wilcoxon
ETS1|dataset0541|dataset0537,ETS1,dataset0541,dataset0537,CBGE,59,25,34,0.6271186440677966,6,0.4916666666666667,0.23040543975059846,0.6230555555555556,0.5736111111111112,0.6135185185185185,-0.009537037037037066,6,0.09333333333333332,0.4375
ETS1|dataset0541|dataset0537,ETS1,dataset0541,dataset0537,DMS,59,15,44,0.6271186440677966,6,0.3983333333333334,0.15664184200483175,0.8700396825396824,0.7242063492063492,0.892361111111111,0.022321428571428586,6,0.09333333333333332,0.4375
ETS1|dataset0541|dataset0538,ETS1,dataset0541,dataset0538,CBGE,59,13,46,0.6949152542372882,5,0.533,0.07571327492586753,0.5651851851851852,0.5003703703703705,0.5811111111111111,0.01592592592592592,5,0.156,0.1875
ETS1|dataset0541|dataset0538,ETS1,dataset0541,dataset0538,DMS,59,15,44,0.6949152542372882,5,0.377,0.18643363430454282,0.8953703703703703,0.7092592592592593,0.9037037037037038,0.008333333333333281,5,0.156,0.1875
ETS1|dataset0541|dataset0539,ETS1,dataset0541,dataset0539,CBGE,58,30,28,0.6379310344827587,3,0.02,0.017320508075688773,0.6344444444444445,0.505925925925926,0.6344444444444445,0.0,3,-0.295,0.5
ETS1|dataset0541|dataset0539,ETS1,dataset0541,dataset0539,DMS,58,15,43,0.6379310344827587,3,0.315,0.28102490992792795,0.9117460317460319,0.7111111111111111,0.9069841269841271,-0.004761904761904745,3,-0.295,0.5
FYN|dataset0631|dataset0627,FYN,dataset0631,dataset0627,CBGE,32,9,23,0.6875,2,0.0125,0.01767766952966369,0.6670454545454546,0.5825757575757575,0.6670454545454546,0.0,2,-0.13249999999999998,1.0
FYN|dataset0631|dataset0627,FYN,dataset0631,dataset0627,DMS,32,5,27,0.6875,2,0.145,0.20506096654409878,0.9743589743589743,0.8644688644688644,0.9743589743589743,0.0,2,-0.13249999999999998,1.0
FYN|dataset0631|dataset0629,FYN,dataset0631,dataset0629,CBGE,33,11,22,0.6363636363636364,2,0.42000000000000004,0.028284271247461888,0.6833333333333333,0.6833333333333333,0.7166666666666666,0.03333333333333327,2,0.21000000000000002,1.0
FYN|dataset0631|dataset0629,FYN,dataset0631,dataset0629,DMS,33,5,28,0.6363636363636364,2,0.21,0.29698484809834996,0.9642857142857143,0.8690476190476191,0.9523809523809524,-0.011904761904761862,2,0.21000000000000002,1.0
GRB2|dataset0654|dataset0650,GRB2,dataset0654,dataset0650,CBGE,59,13,46,0.7288135593220338,5,0.913,0.05652433104425032,0.7074074074074074,0.7866666666666666,0.7866666666666666,0.07925925925925925,5,0.6990000000000001,0.0625
GRB2|dataset0654|dataset0650,GRB2,dataset0654,dataset0650,DMS,59,19,40,0.7288135593220338,5,0.21400000000000002,0.09587752604234218,0.8333333333333334,0.8145833333333334,0.8395833333333333,0.00625,5,0.6990000000000001,0.0625
GRB2|dataset0654|dataset0652,GRB2,dataset0654,dataset0652,CBGE,54,25,29,0.6481481481481481,6,0.6008333333333333,0.14616486125832934,0.7333333333333334,0.7333333333333333,0.7166666666666667,-0.016666666666666646,6,0.38166666666666665,0.03125
GRB2|dataset0654|dataset0652,GRB2,dataset0654,dataset0652,DMS,54,18,36,0.6481481481481481,6,0.2191666666666667,0.10753681540136227,0.8981481481481483,0.8240740740740741,0.8981481481481483,0.0,6,0.38166666666666665,0.03125
HRAS|dataset0685|dataset0691,HRAS,dataset0685,dataset0691,CBGE,140,5,135,0.6571428571428571,2,0.1375,0.19445436482630057,0.5554214223002634,0.5556409130816506,0.5517449517120281,-0.003676470588235281,2,-0.2,1.0
HRAS|dataset0685|dataset0691,HRAS,dataset0685,dataset0691,DMS,140,47,93,0.6571428571428571,2,0.3375,0.47729707730091964,0.8209605303731113,0.7639434936786926,0.7862704286154796,-0.034690101757631764,2,-0.2,1.0
HRAS|dataset0686|dataset0691,HRAS,dataset0686,dataset0691,CBGE,138,5,133,0.4057971014492754,2,0.41500000000000004,0.5868986283848344,0.5386702849389416,0.5283808231569425,0.48643147896879235,-0.052238805970149294,2,0.3325,1.0
HRAS|dataset0686|dataset0691,HRAS,dataset0686,dataset0691,DMS,138,81,57,0.4057971014492754,2,0.0825,0.10960155108391487,0.5304772918418839,0.4962498498137691,0.5243797308662741,-0.0060975609756097615,2,0.3325,1.0
HRAS|dataset0687|dataset0691,HRAS,dataset0687,dataset0691,CBGE,138,5,133,0.5362318840579711,2,0.4975,0.7035712472806148,0.5518242122719735,0.5621136740539725,0.49121815166591287,-0.060606060606060635,2,-0.04999999999999999,1.0
HRAS|dataset0687|dataset0691,HRAS,dataset0687,dataset0691,DMS,138,63,75,0.5362318840579711,2,0.5475,0.08131727983645295,0.7138150725003441,0.7112361193961364,0.7324133609415868,0.018598288441242616,2,-0.04999999999999999,1.0
HRAS|dataset0688|dataset0691,HRAS,dataset0688,dataset0691,CBGE,148,5,143,0.4864864864864865,2,0.38,0.11313708498984763,0.5349178403755869,0.5244033646322379,0.5442097026604069,0.009291862284820013,2,-0.08000000000000002,1.0
HRAS|dataset0688|dataset0691,HRAS,dataset0688,dataset0691,DMS,148,77,71,0.4864864864864865,2,0.46,0.10606601717798214,0.6791112396375554,0.6831244778613199,0.700692436218752,0.02158119658119656,2,-0.08000000000000002,1.0
ITK|dataset0812|dataset0810,ITK,dataset0812,dataset0810,CBGE,45,6,39,0.6222222222222222,6,0.4441666666666666,0.29498163784660675,0.5,0.5515873015873016,0.5,0.0,6,-0.0016666666666666774,1.0
ITK|dataset0812|dataset0810,ITK,dataset0812,dataset0810,DMS,45,11,34,0.6222222222222222,6,0.4458333333333333,0.28765285791499906,0.9444444444444445,0.9861111111111112,0.9444444444444445,0.0,6,-0.0016666666666666774,1.0
