group_index,assay,case_class,group_label,model,mean_calm_weight,sd_calm_weight,delta_auroc_vs_plm,sd_delta_auroc_vs_plm,ci95_delta_low,ci95_delta_high,ci95_delta_crosses_zero,p_delta_auroc_vs_plm,n_folds,n_evaluable_folds,n_variants,n_genes
0,DMS,lof,DMS LoF,ESM-2 (650M),0.3069762548160109,0.0205981554308392,0.0100537780927887,0.0153016978501451,0.0029532220383699,0.0172393722837341,False,0.0315924620886218,10,10,166670,311
0,DMS,lof,DMS LoF,ESM-1b (650M),0.3858321778193957,0.026499981337485,0.0161112434435792,0.0230306995879565,0.0068525914235626,0.0263466252358261,False,0.0202966416993442,10,10,166670,311
1,DMS,gof,DMS GoF,ESM-2 (650M),1.0,0.0,0.1161252142669001,0.071053499861503,-0.0075730929024252,0.1602728328484144,True,0.0707739560773697,10,5,118831,311
1,DMS,gof,DMS GoF,ESM-1b (650M),0.8766025614066478,0.3166622341372178,0.0746882849805651,0.0785423198708611,-0.0545843836348893,0.1498084316964043,True,0.9524726338655328,10,5,118831,311
2,CBGE,lof,CBGE LoF,ESM-2 (650M),0.1175363064333245,0.04462665072527,-0.0036054134558486,0.007906404447328,-0.0137640662487231,0.0040783798761464,True,0.7684520312194377,10,10,88172,308
2,CBGE,lof,CBGE LoF,ESM-1b (650M),0.2123523544086082,0.0467215443178287,-0.0041056737243359,0.015393978245631,-0.0245084738465475,0.0120007514967298,True,0.2722058935208671,10,10,88172,308
3,CBGE,gof,CBGE GoF,ESM-2 (650M),0.3900256753957394,0.1246432577722586,-0.0002347990469997,0.015947473414637,-0.0146361939796763,0.0106703406363531,True,0.7231685934038261,10,10,84592,308
3,CBGE,gof,CBGE GoF,ESM-1b (650M),0.0789577482549049,0.0894451664182199,-0.0191383512778966,0.0048397588833104,-0.0430942706482629,0.0077129110708766,True,0.4682346967297692,10,10,84592,308
