assay,case_class,split_type,optimizer,score_scaling,n_variants,n_cases,n_controls,n_genes,n_folds,n_evaluable_folds,mean_calm_weight,sd_calm_weight,auroc_esm2_650m_mean,auroc_esm2_650m_sd,auroc_calm_mean,auroc_calm_sd,auroc_esm2_650m_calm_mean,auroc_esm2_650m_calm_sd,delta_combo_vs_esm2_650m_mean,delta_combo_vs_esm2_650m_sd,delta_combo_vs_calm_mean,delta_combo_vs_calm_sd,p_delta_combo_vs_esm2_650m_paired_t,p_delta_combo_vs_calm_paired_t
DMS,lof,stratified_gene,grid,raw,166670,49258,117412,311,10,10,0.35900000000000004,0.021832697191750416,0.7345998945368574,0.0398143278784097,0.6835531462635455,0.053253463773830355,0.7469015263736385,0.035024527833911585,0.012301631836781134,0.015301697850145136,0.06334838011009289,0.049734679810881546,0.03159246208862181,0.002982485943386434
DMS,gof,stratified_gene,grid,raw,118831,1419,117412,311,10,5,1.0,0.0,0.48189247378971223,0.11815174650046659,0.5596065642305887,0.18596530746068238,0.5596065642305887,0.18596530746068238,0.0777140904408766,0.07105349986150304,0.0,0.0,0.07077395607736973,
CBGE,lof,stratified_gene,grid,raw,88172,5650,82522,308,10,10,0.16300000000000003,0.05716448003592596,0.7064113228335239,0.11208654327883494,0.6425298315476297,0.10020047729932567,0.7071699910254653,0.11035700718341102,0.0007586681919414473,0.007906404447328041,0.06464015947783583,0.0958305664979636,0.7684520312194377,0.061716057866862954
CBGE,gof,stratified_gene,grid,raw,84592,2070,82522,308,10,10,0.479,0.13747322971723946,0.5774554185344687,0.06858894312259632,0.5710406600292256,0.05582038936284099,0.5756121041719071,0.06753834357079555,-0.001843314362561449,0.01594747341463707,0.004571444142681608,0.038329359618258514,0.7231685934038261,0.7147966588194505
