assay,case_class,split_type,optimizer,score_scaling,n_variants,n_cases,n_controls,n_genes,n_folds,n_evaluable_folds,mean_calm_weight,sd_calm_weight,auroc_esm1b_650m_mean,auroc_esm1b_650m_sd,auroc_calm_mean,auroc_calm_sd,auroc_esm1b_650m_calm_mean,auroc_esm1b_650m_calm_sd,delta_combo_vs_esm1b_650m_mean,delta_combo_vs_esm1b_650m_sd,delta_combo_vs_calm_mean,delta_combo_vs_calm_sd,p_delta_combo_vs_esm1b_650m_paired_t,p_delta_combo_vs_calm_paired_t
DMS,lof,stratified_gene,grid,raw,166670,49258,117412,311,10,10,0.5,0.02708012801545321,0.7026860412660123,0.034047867612204005,0.6835531462635455,0.053253463773830355,0.7231687543324047,0.034836202507510045,0.020482713066392454,0.023030699587956553,0.039615608068859186,0.03970328431493614,0.020296641699344236,0.01163798033051627
DMS,gof,stratified_gene,grid,raw,118831,1419,117412,311,10,5,0.885,0.3145102012124037,0.5464540611652254,0.1718585650373624,0.5596065642305887,0.18596530746068238,0.544226319027729,0.15235390767349802,-0.0022277421374965133,0.07854231987086113,-0.0153802452028599,0.03794802091442756,0.9524726338655328,0.41604709184392996
CBGE,lof,stratified_gene,grid,raw,88172,5650,82522,308,10,10,0.337,0.058887840661530265,0.6782868205164843,0.10029112934485587,0.6425298315476297,0.10020047729932567,0.6839804032216328,0.09907280601524923,0.005693582705148281,0.01539397824563109,0.04145057167400308,0.07497794843525132,0.27220589352086716,0.11436289343796886
CBGE,gof,stratified_gene,grid,raw,84592,2070,82522,308,10,10,0.133,0.13038830895103715,0.5993438071753506,0.11484337428687477,0.5710406600292256,0.05582038936284099,0.5981847909235806,0.1116395568751764,-0.001159016251770062,0.004839758883310463,0.027144130894355023,0.0793109692742275,0.46823469672976925,0.30726852339156546
