model,assay,case_class,mean_raw_calm_weight,sd_raw_calm_weight,mean_standardized_equivalent_calm_weight,sd_standardized_equivalent_calm_weight
ESM-1b (650M),CBGE,gof,0.133,0.13038830895103712,0.07895774825490492,0.08944516641821999
ESM-1b (650M),CBGE,lof,0.337,0.058887840661530265,0.21235235440860828,0.04672154431782878
ESM-1b (650M),DMS,gof,0.885,0.3145102012124037,0.8766025614066478,0.31666223413721784
ESM-1b (650M),DMS,lof,0.5,0.02708012801545322,0.3858321778193957,0.026499981337485053
ESM-2 (650M),CBGE,gof,0.479,0.13747322971723946,0.3900256753957394,0.12464325777225861
ESM-2 (650M),CBGE,lof,0.16299999999999998,0.05716448003592595,0.1175363064333245,0.04462665072527002
ESM-2 (650M),DMS,gof,1.0,0.0,1.0,0.0
ESM-2 (650M),DMS,lof,0.359,0.021832697191750444,0.3069762548160109,0.020598155430839274
