assay,comparison,protein_model,n_variants,n_genes,n_evaluable_folds,n_total_folds,mean_calm_weight,sd_calm_weight,plm_auroc,ensemble_auroc,delta_auroc,sd_delta_auroc
DMS,Functionally normal vs. LoF,ESM-2 (650M),166670,311,10,10,0.3069762548160109,0.0205981554308392,0.7345998945368574,0.7469015263736385,0.01230163183678111,0.015301697850145105
DMS,Functionally normal vs. LoF,ESM-1b (650M),166670,311,10,10,0.3858321778193957,0.026499981337485,0.7026860412660123,0.7231687543324047,0.02048271306639244,0.02303069958795654
DMS,Functionally normal vs. GoF,ESM-2 (650M),118831,311,5,10,1.0,0.0,0.48189247378971223,0.5596065642305887,0.07771409044087658,0.07105349986150301
DMS,Functionally normal vs. GoF,ESM-1b (650M),118831,311,5,10,0.8766025614066478,0.3166622341372178,0.5464540611652253,0.544226319027729,-0.0022277421374965202,0.07854231987086109
CBGE,Functionally normal vs. LoF,ESM-2 (650M),88172,308,10,10,0.1175363064333245,0.04462665072527,0.7064113228335239,0.7071699910254653,0.0007586681919414097,0.007906404447328017
CBGE,Functionally normal vs. LoF,ESM-1b (650M),88172,308,10,10,0.2123523544086082,0.0467215443178287,0.6782868205164843,0.6839804032216328,0.00569358270514824,0.015393978245631068
CBGE,Functionally normal vs. GoF,ESM-2 (650M),84592,308,10,10,0.3900256753957394,0.1246432577722586,0.5774554185344687,0.5756121041719071,-0.0018433143625614407,0.015947473414637033
CBGE,Functionally normal vs. GoF,ESM-1b (650M),84592,308,10,10,0.0789577482549049,0.0894451664182199,0.5993438071753506,0.5981847909235806,-0.00115901625177007,0.004839758883310422
