model,w_esm2_150m_mean,w_esm2_150m_std,w_esm2_650m_mean,w_esm2_650m_std,w_esm1b_650m_mean,w_esm1b_650m_std,w_calm_mean,w_calm_std
ESM-1b 650M + CaLM,0.0,0.0,0.0,0.0,0.7420498602727702,0.005199719580881039,0.2579501397272298,0.005199719580881014
ESM-2 150M + CaLM,0.4840494603417616,0.010725877341443833,0.0,0.0,0.0,0.0,0.5159505396582383,0.010725877341443781
ESM-2 150M + ESM-2 650M,0.1273743048564891,0.008308975668714805,0.8726256951435107,0.008308975668714795,0.0,0.0,0.0,0.0
ESM-2 650M + CaLM,0.0,0.0,0.6056180813266476,0.007391123421441076,0.0,0.0,0.3943819186733524,0.007391123421441121
ESM-2 650M + ESM-1b 650M,0.0,0.0,0.32971431736583534,0.010082822209279049,0.6702856826341648,0.010082822209279047,0.0,0.0
ESM-2 650M + ESM-1b 650M + CaLM,0.0,0.0,0.26343859424188526,0.02556956984988724,0.5494453938774544,0.025287133775972824,0.18711601188066032,0.012950893966547972
