ensemble,fold,component,training_score_sd,raw_weight,standardized_equivalent_weight,weight_difference,max_heldout_affine_equivalence_error
ESM-2 150M + CaLM,4,CaLM,2.8451510081676328,0.52,0.517181307698119,-0.0028186923018810317,8.881784197001252e-16
ESM-2 650M + CaLM,4,ESM-2 650M,3.6345769213197117,0.54,0.5999409852572203,0.05994098525722025,8.881784197001252e-16
ESM-2 650M + CaLM,4,CaLM,2.8451510081676328,0.46,0.4000590147427797,-0.0599409852572203,8.881784197001252e-16
ESM-1b 650M + CaLM,4,ESM-1b 650M,4.576317925133008,0.64,0.7408983016141952,0.10089830161419522,8.881784197001252e-16
ESM-1b 650M + CaLM,4,CaLM,2.8451510081676328,0.36,0.2591016983858047,-0.10089830161419527,8.881784197001252e-16
ESM-2 650M + ESM-1b 650M + CaLM,4,ESM-2 650M,3.6345769213197117,0.25,0.23250334834371775,-0.017496651656282253,8.881784197001252e-16
ESM-2 650M + ESM-1b 650M + CaLM,4,ESM-1b 650M,4.576317925133008,0.5,0.5854927622731168,0.08549276227311675,8.881784197001252e-16
ESM-2 650M + ESM-1b 650M + CaLM,4,CaLM,2.8451510081676328,0.25,0.18200388938316545,-0.06799611061683455,8.881784197001252e-16
ESM-2 150M + ESM-2 650M,5,ESM-2 150M,2.856849521579719,0.16,0.13080912685847676,-0.029190873141523244,8.881784197001252e-16
ESM-2 150M + ESM-2 650M,5,ESM-2 650M,3.6158064294300636,0.84,0.8691908731415232,0.029190873141523244,8.881784197001252e-16
ESM-2 650M + ESM-1b 650M,5,ESM-2 650M,3.6158064294300636,0.37,0.31745554106925417,-0.05254445893074583,8.881784197001252e-16
ESM-2 650M + ESM-1b 650M,5,ESM-1b 650M,4.5657736844512256,0.63,0.6825444589307459,0.052544458930745885,8.881784197001252e-16
ESM-2 150M + CaLM,5,ESM-2 150M,2.856849521579719,0.47,0.4727857833051367,0.0027857833051367353,1.1102230246251565e-15
ESM-2 150M + CaLM,5,CaLM,2.8250885032507007,0.53,0.5272142166948633,-0.00278578330513668,1.1102230246251565e-15
ESM-2 650M + CaLM,5,ESM-2 650M,3.6158064294300636,0.54,0.6003965964469986,0.060396596446998574,1.3322676295501878e-15
ESM-2 650M + CaLM,5,CaLM,2.8250885032507007,0.46,0.39960340355300134,-0.060396596446998685,1.3322676295501878e-15
ESM-1b 650M + CaLM,5,ESM-1b 650M,4.5657736844512256,0.64,0.7418128798060727,0.10181287980607268,1.3322676295501878e-15
ESM-1b 650M + CaLM,5,CaLM,2.8250885032507007,0.36,0.25818712019392737,-0.10181287980607262,1.3322676295501878e-15
ESM-2 650M + ESM-1b 650M + CaLM,5,ESM-2 650M,3.6158064294300636,0.25,0.23219263615845617,-0.017807363841543827,7.771561172376096e-16
ESM-2 650M + ESM-1b 650M + CaLM,5,ESM-1b 650M,4.5657736844512256,0.5,0.5863914723237772,0.0863914723237772,7.771561172376096e-16
ESM-2 650M + ESM-1b 650M + CaLM,5,CaLM,2.8250885032507007,0.25,0.18141589151776663,-0.06858410848223337,7.771561172376096e-16
ESM-2 150M + ESM-2 650M,6,ESM-2 150M,2.8695261684005064,0.1699999999999999,0.13936551178657108,-0.030634488213428818,8.881784197001252e-16
ESM-2 150M + ESM-2 650M,6,ESM-2 650M,3.62948035620744,0.8300000000000001,0.8606344882134289,0.030634488213428845,8.881784197001252e-16
ESM-2 650M + ESM-1b 650M,6,ESM-2 650M,3.62948035620744,0.39,0.3372201570942912,-0.05277984290570881,8.881784197001252e-16
