fold,model,components,test_auc,w_esm2_150m,w_esm2_650m,w_esm1b_650m,w_calm,n_test,n_test_genes,n_test_pathogenic
5,ESM-2 150M + ESM-2 650M,ESM-2 150M + ESM-2 650M,0.9037952886202876,0.16000000000000003,0.84,0.0,0.0,7308,1149,2832
5,ESM-2 650M + ESM-1b 650M,ESM-2 650M + ESM-1b 650M,0.926713462067625,0.0,0.37,0.63,0.0,7308,1149,2832
5,ESM-2 150M + ESM-1b 650M,ESM-2 150M + ESM-1b 650M,0.9202748935944624,0.24,0.0,0.76,0.0,7308,1149,2832
5,ESM-2 150M + CaLM,ESM-2 150M + CaLM,0.8739933758450593,0.47,0.0,0.0,0.53,7308,1149,2832
5,ESM-2 650M + CaLM,ESM-2 650M + CaLM,0.9132110900319594,0.0,0.54,0.0,0.46,7308,1149,2832
5,ESM-1b 650M + CaLM,ESM-1b 650M + CaLM,0.9224284855071366,0.0,0.0,0.64,0.36,7308,1149,2832
5,ESM-2 650M + ESM-1b 650M + CaLM,ESM-2 650M + ESM-1b 650M + CaLM,0.9291353161620293,0.0,0.25,0.5,0.25,7308,1149,2832
6,ESM-2 150M,ESM-2 150M,0.790629603897882,1.0,0.0,0.0,0.0,7531,1158,2805
6,ESM-2 650M,ESM-2 650M,0.8797859604735211,0.0,1.0,0.0,0.0,7531,1158,2805
6,ESM-1b 650M,ESM-1b 650M,0.9280844088491397,0.0,0.0,1.0,0.0,7531,1158,2805
6,CaLM,CaLM,0.8651753903577357,0.0,0.0,0.0,1.0,7531,1158,2805
6,ESM-2 150M + ESM-2 650M,ESM-2 150M + ESM-2 650M,0.8792465241396062,0.16999999999999993,0.8300000000000001,0.0,0.0,7531,1158,2805
6,ESM-2 650M + ESM-1b 650M,ESM-2 650M + ESM-1b 650M,0.9308699250099763,0.0,0.39,0.61,0.0,7531,1158,2805
6,ESM-2 150M + ESM-1b 650M,ESM-2 150M + ESM-1b 650M,0.9272083811403222,0.27,0.0,0.73,0.0,7531,1158,2805
6,ESM-2 150M + CaLM,ESM-2 150M + CaLM,0.8784596607080489,0.5,0.0,0.0,0.5,7531,1158,2805
6,ESM-2 650M + CaLM,ESM-2 650M + CaLM,0.9097197360073564,0.0,0.55,0.0,0.45,7531,1158,2805
6,ESM-1b 650M + CaLM,ESM-1b 650M + CaLM,0.9367033205772595,0.0,0.0,0.6499999999999999,0.35000000000000003,7531,1158,2805
6,ESM-2 650M + ESM-1b 650M + CaLM,ESM-2 650M + ESM-1b 650M + CaLM,0.9367366628873686,0.0,0.30000000000000004,0.45,0.24999999999999994,7531,1158,2805
7,ESM-2 150M,ESM-2 150M,0.8424166082806389,1.0,0.0,0.0,0.0,7228,1143,2391
7,ESM-2 650M,ESM-2 650M,0.8808841162076069,0.0,1.0,0.0,0.0,7228,1143,2391
7,ESM-1b 650M,ESM-1b 650M,0.9268931707326774,0.0,0.0,1.0,0.0,7228,1143,2391
7,CaLM,CaLM,0.8519093419978977,0.0,0.0,0.0,1.0,7228,1143,2391
7,ESM-2 150M + ESM-2 650M,ESM-2 150M + ESM-2 650M,0.8831011856449142,0.14,0.86,0.0,0.0,7228,1143,2391
7,ESM-2 650M + ESM-1b 650M,ESM-2 650M + ESM-1b 650M,0.932676608330789,0.0,0.39,0.61,0.0,7228,1143,2391
7,ESM-2 150M + ESM-1b 650M,ESM-2 150M + ESM-1b 650M,0.9305443618379065,0.25,0.0,0.75,0.0,7228,1143,2391
7,ESM-2 150M + CaLM,ESM-2 150M + CaLM,0.87855325778471,0.48,0.0,0.0,0.52,7228,1143,2391
7,ESM-2 650M + CaLM,ESM-2 650M + CaLM,0.9048211338311514,0.0,0.55,0.0,0.45,7228,1143,2391
7,ESM-1b 650M + CaLM,ESM-1b 650M + CaLM,0.9340425949526283,0.0,0.0,0.64,0.36,7228,1143,2391
7,ESM-2 650M + ESM-1b 650M + CaLM,ESM-2 650M + ESM-1b 650M + CaLM,0.9369021917090198,0.0,0.30000000000000004,0.45,0.24999999999999994,7228,1143,2391
8,ESM-2 150M,ESM-2 150M,0.850653469794095,1.0,0.0,0.0,0.0,6880,1142,2304
8,ESM-2 650M,ESM-2 650M,0.8942309589282246,0.0,1.0,0.0,0.0,6880,1142,2304
8,ESM-1b 650M,ESM-1b 650M,0.9314418694911858,0.0,0.0,1.0,0.0,6880,1142,2304
8,CaLM,CaLM,0.8332661804341491,0.0,0.0,0.0,1.0,6880,1142,2304
8,ESM-2 150M + ESM-2 650M,ESM-2 150M + ESM-2 650M,0.8953549163510102,0.15000000000000002,0.85,0.0,0.0,6880,1142,2304
8,ESM-2 650M + ESM-1b 650M,ESM-2 650M + ESM-1b 650M,0.9378255208333334,0.0,0.38,0.62,0.0,6880,1142,2304
