analysis,n_genes,x_column,y_column,spearman_rho,spearman_p_value,top5_percent_cutoff,n_excluded_top5_percent,trimmed_n_genes,trimmed_ols_slope,trimmed_ols_slope_95ci_low,trimmed_ols_slope_95ci_high,trimmed_ols_p_value,trimmed_ols_r_squared
esm2_independent_calm_signal_spearman_and_top5_sensitivity,466,esm2_independent_calm_signal,esm2_cross_modal_gain,0.3958421464030481,6.236885616683929e-19,0.1047619047619047,24,442,0.04091542927436642,0.018519828230563896,0.06331103031816895,0.0003426257858312934,0.026431567766989184
esm1b_independent_calm_signal_spearman_and_top5_sensitivity,466,esm1b_independent_calm_signal,esm1b_gain_over_protein,0.18038005877364832,9.018858475294322e-05,0.06498419150858176,24,442,-0.0009439215109865234,-0.01837567835456014,0.016487835332587093,0.9154783072603432,1.8034550116508008e-05
