space,diff_col,lower_1pct,upper_99pct,clm_better_n,plm_better_n,clm_enriched_pairs_fdr01,plm_enriched_pairs_fdr01,protein_model,auroc_protein,auroc_calm_codon,auroc_calm_aa_aggregated,n_variants,n_genes,codon_llr_recompute_max_abs_diff,codon_vs_aa_agg_diff_pearson,degeneracy_n_flagged,degeneracy_coef,degeneracy_or,degeneracy_or_95ci_low,degeneracy_or_95ci_high,degeneracy_p
codon,diff_codon,-8.442233175187912,5.1956575543675125,414,1016,2,18,ESM-2 650M,0.8927237324265922,0.8404616952405848,0.8355765228978512,71436,11554,4.345524037835649,0.9540480540823656,414,-0.5600479135728305,0.5711816958373875,0.4832500644762542,0.6751132666961187,5.165354376295821e-11
aa_aggregated,diff_aa_agg,-9.414704172658526,4.109498465917234,412,1018,0,18,ESM-2 650M,0.8927237324265922,0.8404616952405848,0.8355765228978512,71436,11554,4.345524037835649,0.9540480540823656,412,-0.3645456605313977,0.6945121234758437,0.5984545219324446,0.8059878770694198,1.5881063629218044e-06
